,,e,E,d,f,n,i,t,_,.,-,(),#,',;,abcghjklmopqrsuvwxyzABCDFGHIJKLMNOPQRSTUVWXYZ,1234567809,+*/^=
,q0,q1,q1,q19,q1,q1,q1,q1,p,q10,q12,q13,q14,q16,q18,q1,q3,q11
variable,q1,q1,q1,q1,q1,q1,q1,q1,q1,p,p,p,p,p,p,q1,q1,p
numero,q2,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,q2,p
numero,q3,q4,q4,p,p,p,p,p,p,q7,p,p,p,p,p,p,q3,p
error,q4,p,p,p,p,p,p,p,p,p,q5,p,q2,p,p,p,q2,p
error,q5,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,q2,p
numero,q6,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,q6,p
numero,q7,q8,q8,p,p,p,p,p,p,p,p,p,p,p,p,p,q7,p
error,q8,p,p,p,p,p,p,p,p,p,q9,p,p,p,p,p,q6,p
error,q9,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,q6,p
error,q10,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,q7,p
operador,q11,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
operador,q12,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,q3,p
especial,q13,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
error,q14,p,p,p,q15,p,p,q15,p,p,p,p,p,p,p,p,p,p
logico,q15,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
error,q16,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17
simbolo,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17,q17
comentario,q18,q18,q18,q18,q18,q18,q18,q18,q18,q18,q18,q18,q18,q18,q18,q18,q18,q18
variable,q19,q20,q1,q1,q1,q1,q1,q1,q1,p,p,p,p,p,p,q1,q1,p
variable,q20,q1,q1,q1,q21,q1,q1,q1,q1,p,p,p,p,p,p,q1,q1,p
variable,q21,q1,q1,q1,q1,q1,q22,q1,q1,p,p,p,p,p,p,q1,q1,p
variable,q22,q1,q1,q1,q1,q23,q1,q1,q1,p,p,p,p,p,p,q1,q1,p
variable,q23,q24,q1,q1,q1,q1,q1,q1,q1,p,p,p,p,p,p,q1,q1,p
reservada,q24,q1,q1,q1,q1,q1,q1,q1,q1,p,p,p,p,p,p,q1,q1,p
error,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
